fips,county,state,lat,lon,entity_count,total_acres,r1_covered,r1_nearest_site,r1_nearest_dist,r1_covering_site,r1_covering_dist,r1_covering_threshold,r2_covered,r2_nearest_site,r2_nearest_dist,r2_covering_site,r2_covering_dist,r2_covering_threshold,r3_covered,r3_nearest_site,r3_nearest_dist,r3_covering_site,r3_covering_dist,r3_covering_threshold,r4_covered,r4_nearest_site,r4_nearest_dist,r4_covering_site,r4_covering_dist,r4_covering_threshold
48209,Hays,Texas,30.0582,-98.0311,1,342.1,N,N/A,N/A,,,,N,Army Futures Command,29.3,,,,N,Army Futures Command,29.3,,,,Y,Army Futures Command,29.3,Joint Base San Antonio,57.1,100
48231,Hunt,Texas,33.1236,-96.0854,4,1100.7,N,N/A,N/A,,,,N,Fort Cavazos,163.4,,,,N,Fort Cavazos,163.4,,,,N,Red River Army Depot,105.6,,,
48239,Jackson,Texas,28.9557,-96.5787,2,26454.0,N,N/A,N/A,,,,N,Ellington Field Joint Reserve Base,96.4,,,,N,Ellington Field Joint Reserve Base,96.4,,,,N,Ellington Field Joint Reserve Base,96.4,,,
48349,Navarro,Texas,32.047,-96.4724,1,38.7,N,N/A,N/A,,,,N,Fort Cavazos,94.0,,,,N,Fort Cavazos,94.0,,,,N,Fort Cavazos,94.0,,,
48393,Roberts,Texas,35.8385,-100.8135,1,10.0,N,N/A,N/A,,,,N,Fort Sill,152.1,,,,N,Fort Sill,152.1,,,,N,Altus Air Force Base,118.9,,,
48397,Rockwall,Texas,32.8978,-96.4077,4,472.0,N,N/A,N/A,,,,N,Fort Cavazos,139.9,,,,N,Fort Cavazos,139.9,,,,N,Red River Army Depot,127.7,,,
48465,Val Verde,Texas,29.893,-101.1517,8,116699.4,N,N/A,N/A,,,,N,Joint Base San Antonio,158.3,,,,Y,Laughlin Air Force Base,43.2,Laughlin Air Force Base,43.2,100,Y,Laughlin Air Force Base,43.2,Laughlin Air Force Base,43.2,100
48467,Van Zandt,Texas,32.5637,-95.8365,1,20.0,N,N/A,N/A,,,,N,Fort Cavazos,145.3,,,,N,Fort Cavazos,145.3,,,,N,Red River Army Depot,108.0,,,
48481,Wharton,Texas,29.2779,-96.2221,1,265.0,N,N/A,N/A,,,,N,Ellington Field Joint Reserve Base,67.5,,,,N,Ellington Field Joint Reserve Base,67.5,,,,N,Ellington Field Joint Reserve Base,67.5,,,
49001,Beaver,Utah,38.3577,-113.2358,1,828.5,N,N/A,N/A,,,,N,West Desert Test Center,124.2,,,,N,West Desert Test Center,124.2,,,,N,West Desert Test Center,124.2,,,
49021,Iron,Utah,37.8592,-113.2893,2,804.9,N,N/A,N/A,,,,N,Nellis Air Force Base,146.0,,,,N,Nellis Air Force Base,146.0,,,,N,Nellis Air Force Base,146.0,,,
49027,Millard,Utah,39.0738,-113.1004,1,38.9,N,N/A,N/A,,,,Y,West Desert Test Center,74.9,West Desert Test Center,74.9,100,Y,West Desert Test Center,74.9,West Desert Test Center,74.9,100,Y,West Desert Test Center,74.9,West Desert Test Center,74.9,100
49045,Tooele,Utah,40.4488,-113.1311,1,425.0,N,N/A,N/A,,,,Y,West Desert Test Center,20.7,Hill Air Force Base,75.9,100,Y,West Desert Test Center,20.7,Hill Air Force Base,75.9,100,Y,West Desert Test Center,20.7,Camp Williams,63.3,100
51037,Charlotte,Virginia,37.0116,-78.6616,1,50.0,N,N/A,N/A,,,,N,Fort Gregg-Adams,74.8,,,,N,Fort Gregg-Adams,74.8,,,,N,Fort Gregg-Adams,74.8,,,
51047,Culpeper,Virginia,38.4861,-77.9559,1,491.8,N,N/A,N/A,,,,Y,Marine Corps Base Quantico,26.3,Naval Air Station Patuxent River,84.4,100,Y,Marine Corps Base Quantico,26.3,Naval Air Station Patuxent River,84.4,100,Y,Marine Corps Base Quantico,26.3,Joint Base Cape Cod,63.4,100
51081,Greensville,Virginia,36.6759,-77.5596,2,217.0,N,N/A,N/A,,,,N,Fort Gregg-Adams,40.7,,,,N,Fort Gregg-Adams,40.7,,,,N,Fort Gregg-Adams,40.7,,,
51093,Isle of Wight,Virginia,36.8908,-76.7271,1,1053.1,N,N/A,N/A,,,,Y,Portsmouth Naval Shipyard,23.4,Dare County Range,94.0,100,Y,Portsmouth Naval Shipyard,23.4,Dare County Range,94.0,100,Y,Portsmouth Naval Shipyard,23.4,Dare County Range,94.0,100
51107,Loudoun,Virginia,39.0907,-77.6357,1,96.0,N,N/A,N/A,,,,Y,Naval Support Facility Carderock,25.1,Aberdeen Proving Ground,74.5,100,Y,Naval Support Facility Carderock,25.1,Aberdeen Proving Ground,74.5,100,Y,Naval Logistics Support Facility Cutler,25.1,Aberdeen Proving Ground,74.5,100
51175,Southampton,Virginia,36.7201,-77.1066,1,455.4,N,N/A,N/A,,,,Y,Fort Gregg-Adams,37.8,Dare County Range,97.5,100,Y,Fort Gregg-Adams,37.8,Dare County Range,97.5,100,Y,Fort Gregg-Adams,37.8,Dare County Range,97.5,100
51181,Surry,Virginia,37.2113,-76.8566,1,900.3,N,N/A,N/A,,,,Y,Fort Gregg-Adams,26.2,Naval Air Station Patuxent River,77.7,100,Y,Fort Gregg-Adams,26.2,Naval Air Station Patuxent River,77.7,100,Y,Fort Gregg-Adams,26.2,Naval Air Station Patuxent River,77.7,100
51183,Sussex,Virginia,36.9218,-77.2618,1,1390.2,N,N/A,N/A,,,,N,Fort Gregg-Adams,22.0,,,,N,Fort Gregg-Adams,22.0,,,,N,Fort Gregg-Adams,22.0,,,
53039,Klickitat,Washington,45.8738,-120.7893,1,480.0,N,N/A,N/A,,,,Y,Naval Weapons Systems Training Facility Boardman,54.0,Naval Weapons Systems Training Facility Boardman,54.0,100,Y,Naval Weapons Systems Training Facility Boardman,54.0,Naval Weapons Systems Training Facility Boardman,54.0,100,Y,Naval Weapons Systems Training Facility Boardman,54.0,Naval Weapons Systems Training Facility Boardman,54.0,100
53073,Whatcom,Washington,48.8256,-121.7173,1,55.0,N,N/A,N/A,,,,Y,Naval Surface Warfare Center Carderock Division--Acoustic Research Detachment,52.8,Naval Base Kitsap--Keyport,97.7,100,Y,Naval Surface Warfare Center Carderock Division--Acoustic Research Detachment,52.8,Naval Base Kitsap--Keyport,97.7,100,Y,Naval Surface Warfare Center Carderock Division--Acoustic Research Detachment,52.8,Naval Base Kitsap--Keyport,97.7,100
54077,Preston,West Virginia,39.4693,-79.6681,1,41.2,N,N/A,N/A,,,,N,Biometric Technology Center (Defense Forensics and Biometrics Agency),33.3,,,,N,Biometric Technology Center (Defense Forensics and Biometrics Agency),33.3,,,,N,Biometric Technology Center (Defense Forensics and Biometrics Agency),33.3,,,
