fips,county,state,lat,lon,entity_count,total_acres,r1_covered,r1_nearest_site,r1_nearest_dist,r1_covering_site,r1_covering_dist,r1_covering_threshold,r2_covered,r2_nearest_site,r2_nearest_dist,r2_covering_site,r2_covering_dist,r2_covering_threshold,r3_covered,r3_nearest_site,r3_nearest_dist,r3_covering_site,r3_covering_dist,r3_covering_threshold,r4_covered,r4_nearest_site,r4_nearest_dist,r4_covering_site,r4_covering_dist,r4_covering_threshold
13151,Henry,Georgia,33.4534,-84.1554,1,553.0,N,N/A,N/A,,,,N,Fort Moore,81.8,,,,N,Fort Moore,81.8,,,,N,Fort Moore,81.8,,,
13217,Newton,Georgia,33.5551,-83.8503,2,956.0,N,N/A,N/A,,,,N,Fort Eisenhower,94.0,,,,N,Fort Eisenhower,94.0,,,,N,Fort Eisenhower,94.0,,,
15001,Hawaii,Hawaii,19.5981,-155.5187,3,381.0,N,N/A,N/A,,,,N,Peason Ridge Training Area,10.7,,,,N,Peason Ridge Training Area,10.7,,,,N,Peason Ridge Training Area,10.7,,,
16027,Canyon,Idaho,43.625,-116.7092,3,146.9,N,N/A,N/A,,,,Y,Orchard Combat Training Center,39.6,Mountain Home Air Force Base,58.1,100,Y,Orchard Combat Training Center,39.6,Mountain Home Air Force Base,58.1,100,Y,Orchard Combat Training Center,39.6,Mountain Home Air Force Base,58.1,100
17019,Champaign,Illinois,40.1401,-88.1991,1,117.0,N,N/A,N/A,,,,N,Naval Support Activity Crane,115.4,,,,N,Naval Support Activity Crane,115.4,,,,N,Naval Logistics Support Activity Ketchikan,115.4,,,
17037,De Kalb,Illinois,41.8934,-88.7704,1,80.0,N,N/A,N/A,,,,N,Rock Island Arsenal,95.6,,,,N,Rock Island Arsenal,95.6,,,,N,Rock Island Arsenal,95.6,,,
17191,Wayne,Illinois,38.4295,-88.4256,1,156.8,N,N/A,N/A,,,,N,Naval Support Activity Crane,93.0,,,,N,Naval Support Activity Crane,93.0,,,,N,Scott Air Force Base,77.6,,,
17197,Will,Illinois,41.445,-87.9787,1,21.0,N,N/A,N/A,,,,N,Rock Island Arsenal,133.4,,,,N,Rock Island Arsenal,133.4,,,,N,Rock Island Arsenal,133.4,,,
18003,Allen,Indiana,41.0908,-85.0665,1,195.0,N,N/A,N/A,,,,N,Wright-Patterson Air Force Base,102.9,,,,N,Wright-Patterson Air Force Base,102.9,,,,N,Joint Systems Manufacturing Center--Lima,61.8,,,
19015,Boone,Iowa,42.0366,-93.9318,2,562.0,N,N/A,N/A,,,,N,Offutt Air Force Base,120.2,,,,N,Offutt Air Force Base,120.2,,,,Y,Camp Dodge,23.2,Camp Dodge,23.2,100
20061,Geary,Kansas,39.0024,-96.7526,1,97.5,N,N/A,N/A,,,,N,Fort Riley,13.3,,,,N,Fort Riley,13.3,,,,N,Fort Riley,13.3,,,
20163,Rooks,Kansas,39.3502,-99.3251,1,160.8,N,N/A,N/A,,,,N,Fort Riley,134.4,,,,N,Fort Riley,134.4,,,,N,Fort Riley,134.4,,,
