site_name,location,current_part,threshold_miles,regime_added,latitude,longitude,conus,mirta_match
Joint Base Andrews,"Camp Springs, MD",1,1,2020,38.813084,-76.857687,Y,Joint Base Andrews
Joint Base Elmendorf-Richardson,"Anchorage, AK",1,1,2020,61.269787,-149.811208,N,Joint Base Elmendorf-Richardson
Joint Base Langley-Eustis,"Hampton, VA and Newport News, VA",1,1,2020,37.083336,-76.362868,Y,Joint Base Langley-Eustis
Joint Base Lewis-McChord,"Tacoma, WA",1,1,2020,31.944489,-106.249728,Y,Fort Bliss
Joint Base McGuire-Dix-Lakehurst,"Lakehurst, NJ",1,1,2020,,,Y,
Joint Base Myer-Henderson Hall,"Arlington, VA",1,1,2024,38.8765,-77.0808,Y,MANUAL_COORDS
Joint Base Pearl Harbor-Hickam,"Honolulu, HI",1,1,2020,21.338854,-157.949497,N,Joint Base Pearl Harbor-Hickam
Joint Expeditionary Base Little Creek-Fort Story,"Virginia Beach, VA",1,1,2020,36.916938,-76.15917,Y,Joint Expeditionary Base Little Creek-Fort Story
Joint Systems Manufacturing Center--Lima,"Lima, OH",1,1,2024,40.7157,-83.9932,Y,MANUAL_COORDS
Kaena Point Satellite Tracking Station,"Waianae, HI",1,1,2020,21.564715,-158.239801,N,Kaena Point Space Force Station
Kenai Regional Radar Site,"Kenai, AK",1,1,2024,41.161972,-104.821155,N,Cheyenne Regional Airport
King Salmon Air Force Station,"King Salmon, AK",1,1,2020,38.89184,-123.546579,N,Point Arena Air Force Station
Kirtland Air Force Base,"Albuquerque, NM",1,1,2020,35.042127,-106.540306,Y,Kirtland Air Force Base
Kodiak Tracking Station,"Kodiak Island, AK",1,1,2020,57.821283,-152.332559,N,Kodiak Tracking Station
Kotzebue Regional Radar Site,"Kotzebue, AK",1,1,2024,66.8784,-162.605,N,MANUAL_COORDS
Lake City Army Ammunition Plant,"Independence, MO",1,1,2024,39.0503,-94.3789,Y,MANUAL_COORDS
Letterkenny Army Depot,"Chambersburg, PA",1,1,2024,39.9561,-77.668,Y,MANUAL_COORDS
Lisburne Regional Radar Site,"Cape Lisburne, AK",1,1,2024,68.8752,-166.11,N,MANUAL_COORDS
Los Angeles Air Force Base,"El Segundo, CA",1,1,2020,33.918944,-118.3811,Y,Los Angeles Air Force Base
