state,year,total_holdings,total_acres,chinese_holdings,chinese_acres,has_restriction,treatment_year,provision_type,target_scope
North Dakota,2019,518,308558.7,0,0.0,0,2023,restriction,adversarial_nations
Ohio,2019,1031,495555.4,5,334.0,0,2023,restriction,adversarial_nations
Oklahoma,2019,2574,1147442.4,3,2571.2,0,2023,restriction,adversarial_nations
Oregon,2019,351,1219403.6,4,197.0,0,,,
Pennsylvania,2019,288,336504.7,2,680.0,0,,,
Puerto Rico,2019,11,2945.0,0,0.0,0,,,
Rhode Island,2019,1,17.0,0,0.0,0,,,
South Carolina,2019,369,500923.4,4,909.5,0,,,
South Dakota,2019,610,306963.8,0,0.0,0,2024,restriction,adversarial_nations
Tennessee,2019,347,428994.9,0,0.0,0,2023,restriction,adversarial_nations
Texas,2019,3976,4516498.0,96,55846.0,0,2025,restriction,adversarial_nations
Utah,2019,73,126919.4,4,34006.7,0,2023,restriction,adversarial_nations
Vermont,2019,572,85470.1,0,0.0,0,,,
Virginia,2019,532,240351.3,8,13890.1,0,2023,restriction,adversarial_nations
Washington,2019,1063,1528940.8,17,6461.0,0,,,
West Virginia,2019,74,250261.2,1,41.2,0,,,
Wisconsin,2019,485,490934.7,0,0.0,1,2000,restriction,all_foreign
Wyoming,2019,140,401309.7,0,0.0,0,,,
Alabama,2020,722,1809173.4,0,0.0,0,2023,restriction,adversarial_nations
Alaska,2020,15,270401.0,0,0.0,0,,,
Arizona,2020,314,321383.4,52,9892.0,0,2025,restriction,adversarial_nations
Arkansas,2020,636,1158543.9,1,20.0,0,2023,ban,adversarial_nations
California,2020,1733,1253818.0,70,6930.8,0,,,
Colorado,2020,1265,1783096.1,1,3871.4,0,,,
Connecticut,2020,28,2040.8,0,0.0,0,,,
Delaware,2020,12,4848.0,0,0.0,0,,,
Florida,2020,1454,1327748.0,9,13847.5,0,2023,ban,adversarial_nations
Georgia,2020,1264,1142560.5,7,1972.0,0,2024,restriction,adversarial_nations
Hawaii,2020,127,171108.1,6,489.0,0,,,
Idaho,2020,111,124678.5,0,0.0,0,2023,ban,adversarial_nations
Illinois,2020,2490,813810.0,2,107.9,0,,,
Indiana,2020,1070,423384.8,3,618.0,0,2022,restriction,adversarial_nations
Iowa,2020,2075,554028.2,0,0.0,0,2024,restriction,adversarial_nations
Kansas,2020,2408,1122549.8,1,0.5,1,2000,restriction,all_foreign
Kentucky,2020,371,95322.7,2,110.0,0,2025,restriction,adversarial_nations
Louisiana,2020,423,1438806.7,0,0.0,0,2023,restriction,adversarial_nations
Maine,2020,432,3519099.1,1,97.5,0,,,
Maryland,2020,205,57665.1,6,2139.0,0,,,
Massachusetts,2020,17,5029.0,0,0.0,0,,,
Michigan,2020,931,1369609.4,0,0.0,0,,,
Minnesota,2020,919,543911.3,0,0.0,1,2000,restriction,all_foreign
Mississippi,2020,379,747266.9,1,88.0,0,2024,restriction,adversarial_nations
Missouri,2020,1047,398460.5,12,42875.6,1,2000,restriction,all_foreign
Montana,2020,323,854595.8,0,0.0,0,2023,restriction,adversarial_nations
Nebraska,2020,1729,695334.4,0,0.0,0,2024,restriction,adversarial_nations
Nevada,2020,62,510996.7,0,0.0,0,,,
New Hampshire,2020,36,13760.0,0,0.0,0,,,
New Jersey,2020,70,21452.0,1,20.0,0,,,
New Mexico,2020,352,1236159.3,0,0.0,0,,,
New York,2020,1653,749526.9,0,0.0,0,,,
North Carolina,2020,490,533916.1,28,49252.5,0,,,
North Dakota,2020,543,320480.3,0,0.0,0,2023,restriction,adversarial_nations
Ohio,2020,1147,519331.8,5,334.0,0,2023,restriction,adversarial_nations
Oklahoma,2020,3742,1531464.2,3,2571.2,0,2023,restriction,adversarial_nations
Oregon,2020,374,1171472.7,4,197.0,0,,,
Pennsylvania,2020,301,345930.8,2,680.0,0,,,
Puerto Rico,2020,11,2945.0,0,0.0,0,,,
Rhode Island,2020,1,17.0,0,0.0,0,,,
South Carolina,2020,380,503623.9,4,909.5,0,,,
South Dakota,2020,652,356942.4,0,0.0,0,2024,restriction,adversarial_nations
Tennessee,2020,371,434267.6,0,0.0,0,2023,restriction,adversarial_nations
Texas,2020,4354,4806688.9,104,160717.1,0,2025,restriction,adversarial_nations
Utah,2020,85,135460.8,4,34006.7,0,2023,restriction,adversarial_nations
Vermont,2020,572,85470.1,0,0.0,0,,,
Virginia,2020,553,258140.1,8,13890.1,0,2023,restriction,adversarial_nations
Washington,2020,1186,1577468.0,17,6461.0,0,,,
West Virginia,2020,76,253875.2,1,41.2,0,,,
Wisconsin,2020,658,516797.8,0,0.0,1,2000,restriction,all_foreign
Wyoming,2020,154,431574.4,0,0.0,0,,,
Alabama,2021,748,1842532.1,0,0.0,0,2023,restriction,adversarial_nations
Alaska,2021,15,270401.0,0,0.0,0,,,
Arizona,2021,316,332153.7,52,9892.0,0,2025,restriction,adversarial_nations
Arkansas,2021,699,1413774.3,1,20.0,0,2023,ban,adversarial_nations
California,2021,1777,1285826.6,72,7011.7,0,,,
Colorado,2021,1396,1933630.9,1,3871.4,0,,,
Connecticut,2021,28,2040.8,0,0.0,0,,,
Delaware,2021,14,5395.0,0,0.0,0,,,
Florida,2021,1486,1439930.6,9,13847.5,0,2023,ban,adversarial_nations
Georgia,2021,1301,1215287.7,7,1972.0,0,2024,restriction,adversarial_nations
Hawaii,2021,127,170556.3,6,489.0,0,,,
Idaho,2021,120,127352.1,0,0.0,0,2023,ban,adversarial_nations
Illinois,2021,2854,868844.6,6,527.9,0,,,
Indiana,2021,1217,455595.7,3,618.0,0,2022,restriction,adversarial_nations
Iowa,2021,1797,512383.5,0,0.0,0,2024,restriction,adversarial_nations
Kansas,2021,2544,1187690.8,1,0.5,1,2000,restriction,all_foreign
Kentucky,2021,425,111826.6,2,110.0,0,2025,restriction,adversarial_nations
Louisiana,2021,434,1441600.0,0,0.0,0,2023,restriction,adversarial_nations
Maine,2021,435,3631490.9,1,97.5,0,,,
Maryland,2021,221,59627.7,6,2139.0,0,,,
Massachusetts,2021,17,5029.0,0,0.0,0,,,
Michigan,2021,955,1394682.7,0,0.0,0,,,
Minnesota,2021,983,577530.2,0,0.0,1,2000,restriction,all_foreign
Mississippi,2021,415,777175.5,1,88.0,0,2024,restriction,adversarial_nations
Missouri,2021,1200,438190.0,13,43070.6,1,2000,restriction,all_foreign
Montana,2021,339,931179.6,0,0.0,0,2023,restriction,adversarial_nations
Nebraska,2021,1992,795838.7,1,19.0,0,2024,restriction,adversarial_nations
Nevada,2021,64,513981.7,0,0.0,0,,,
New Hampshire,2021,37,13784.0,0,0.0,0,,,
New Jersey,2021,74,22388.0,1,20.0,0,,,
New Mexico,2021,375,1273592.4,0,0.0,0,,,
