mirta_name,state,component,installationId,latitude,longitude
NG MTA Camp Shelby,MS,Army National Guard,28941,31.044134,-88.986253
NG Orchard Combat Training Center,ID,Army National Guard,16A25,43.260208,-116.140371
NSA South Potomac,VA,US Navy,N61151,38.327314,-77.029699
NSF Indian Head,MD,US Navy,N61151,38.578497,-77.187539
NSWC Carderock,MD,US Navy,N68469,38.97452,-77.192653
NSY Portsmouth,ME,US Navy,N32446,43.081006,-70.732562
NTC and Fort Irwin,CA,US Army,6225,35.242927,-116.502377
Naval Air Station Patuxent River,MD,US Navy,N47608,38.283954,-76.422294
Naval Base Kitsap - Keyport,WA,US Navy,N68436,47.697992,-122.621926
Naval Base Kitsap Bangor,WA,US Navy,N68436,47.726751,-122.723584
Naval Base Kitsap Bremerton WA,WA,US Navy,N68436,47.559965,-122.650047
Naval Research Lab,DC,US Navy,N68469,38.822054,-77.018709
Naval Station Newport RI,RI,US Navy,N32411,41.523343,-71.319766
Naval Support Activity Crane,IN,US Navy,N61018,38.836187,-86.815691
Naval Support Activity Orlando,FL,US Navy,N61007,28.582875,-81.198717
Naval Support Activity Panama City,FL,US Navy,N61008,30.174299,-85.750662
Nellis,NV,US Air Force,RKMF,36.241132,-115.023526
Nellis Air Force Range,NV,US Air Force,RKMF,37.479905,-116.38942
New Boston Air Station,NH,US Air Force,GLEN,42.943235,-71.636941
Norco,CA,US Navy,N61065,33.923619,-117.568167
Offut AFB,NE,US Air Force,SGBP,41.113247,-95.907035
Oliktok Long Range Radar Site,AK,US Air Force,VNMH,70.500301,-149.880613
One Liberty Center,VA,Washington Headquarters Service,WHS01,38.880794,-77.108687
Patrick Space Force Base,FL,US Air Force,SXHT,28.239934,-80.613165
Pentagon Building Site,VA,Washington Headquarters Service,WHS01,38.870298,-77.058245
Peterson Space Force Base,CO,US Air Force,TDKA,38.827879,-104.705493
Picatinny Arsenal,NJ,US Army,34855,40.92573,-74.581302
Pinon Canyon,CO,US Army,8005,37.449542,-103.890981
Pohakuloa Training Area,HI,US Army,15815,19.864659,-155.666092
Point Barrow Long Range Radar Site,AK,US Air Force,VNMH,71.329837,-156.630184
Port Hueneme,CA,US Navy,N69232,34.152335,-119.20939
Radford AAP,VA,US Army,51565,37.187602,-80.532946
Redstone Arsenal,AL,US Army,1202,34.581349,-86.655839
Remote Maui Experimental Site,HI,US Air Force,TDKA,20.746482,-156.431307
Rock Island Arsenal,IL,US Army,17775,41.51676,-90.542328
Rome Laboratory,NY,US Air Force,MXRD,43.220844,-75.410628
Schofield Barracks Military Reservation,HI,US Army,15815,21.499623,-157.950035
Schriever Space Force Base,CO,US Air Force,GLEN,38.809776,-104.537302
Seymour Johnson AFB,NC,US Air Force,VKAG,35.335476,-77.980142
Shaw AFB,SC,US Air Force,VLSB,33.980578,-80.469846
Stennis Space Center,MS,US Navy,N62604,30.3555,-89.63579
Subase Kings Bay GA,GA,US Navy,N42237,30.804049,-81.527039
Tilghman Island,MD,US Navy,N61152,38.678159,-76.343585
Tin City Long Range Radar Site,AK,US Air Force,VNMH,65.562097,-167.961981
Tinker AFB,OK,US Air Force,WWYK,35.416533,-97.388791
Travis AFB,CA,US Air Force,XDAT,38.26176,-121.935433
Twentynine Palms,CA,US Marine Corps,M67399,34.43538,-116.279365
Tyndall AFB,FL,US Air Force,XLWU,30.075259,-85.574328
US Army Adelphi Laboratory Center,MD,US Army,24015,39.033326,-76.95647
US Army Soldier Systems Center Natick,MA,US Army,25690,42.288689,-71.362814
Utah Test and Training Range South UT,UT,US Air Force,KRSM,40.584304,-113.84088
Vandenberg Main Base,CA,US Air Force,XUMU,34.678349,-120.611716
Watervliet Arsenal,NY,US Army,36990,42.71886,-73.707012
White Sands Missile Range NM,NM,US Army,35955,33.073976,-106.37495
Wright-Patt AFB,OH,US Air Force,ZHTV,39.822397,-84.049223
Yuma Proving Ground,AZ,US Army,4985,33.052943,-114.189754
